Academic Year,Scholarship Name,Sector Type,TAP Sector Group,TAP College Code,Federal School Code,TAP College Name,Scholarship Headcount,Scholarship Dollars
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,875,2838,SUNY STONY BROOK,831,2787599.47
2017,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,890,2840,SUNY UPSTATE MEDICAL UNIV,7,34171.1
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2000,2860,ADIRONDACK COMMUNITY COLLEGE,140,307649.65
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2025,2862,BROOME COMMUNITY COLLEGE,201,524583.5
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2005,2861,CAYUGA COMMUNITY COLLEGE,63,168063.4
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2036,6787,CLINTON COMMUNITY COLLEGE,39,78692
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2038,6789,COLUMBIA-GREENE COMMUNITY COLLEGE,32,92589.5
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2042,2863,CORNING COMMUNITY COLLEGE,88,198346.5
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2053,2864,DUTCHESS COMMUNITY COLLEGE,146,296328
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2065,10684,ERIE COMMUNITY COLL - ALL CAMPUS,281,757952.7
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,975,2866,FASHION INST TECH UPPER DIVISION,118,513016.1
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2070,2866,FASHION INST TECH-LOWER DIVISION,174,485652.5
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2256,7532,FINGER LAKES COMMUNITY COLLEGE,215,516278.5
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2240,2867,FULTON MONTGOMERY COMM COLLEGE,75,193090.22
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2252,6782,GENESEE COMMUNITY COLLEGE,141,346882
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2254,4788,HERKIMER COMMUNITY COLLEGE,94,215112.5
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2080,2868,HUDSON VALLEY COMMUNITY COLLEGE,367,965245.7
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2085,2869,JAMESTOWN COMMUNITY COLLEGE,89,229210.5
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2220,2870,JEFFERSON COMMUNITY COLLEGE,119,275795.5
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2105,2871,MOHAWK VALLEY COMMUNITY COLLEGE,147,329792.94
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2180,2872,MONROE COMMUNITY COLLEGE,353,797295.5
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2113,2873,NASSAU COMMUNITY COLLEGE,255,678455
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2215,2874,NIAGARA COMMUNITY COLLEGE,179,427739.34
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2258,7111,NORTH COUNTRY COMMUNITY COLLEGE,19,52440
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2185,2875,ONONDAGA COMMUNITY COLLEGE,264,606208.75
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2125,2876,ORANGE COUNTY COMMUNITY COLLEGE,120,319090
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2147,2877,ROCKLAND COMMUNITY COLLEGE,115,294990.29
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2243,6785,SCHENECTADY COUNTY COMM COLLEGE,78,165548.65
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2157,2878,SUFFOLK COMMUNITY COLLEGE,435,1300039.65
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2225,2879,SULLIVAN COMMUNITY COLLEGE,28,61747
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2260,6788,TOMPKINS CORTLAND COMM COLLEGE,63,160995.5
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2230,2880,ULSTER COMMUNITY COLLEGE,65,160003.5
2017,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2160,2881,WESTCHESTER COMMUNITY COLLEGE,116,264128
2017,Excelsior Scholarship Program,PUBLIC,N/A,0,0,Total of Other SUNY/CUNY with <5,2,1920.93
