Academic Year,Scholarship Name,Sector Type,TAP Sector Group,TAP College Code,Federal School Code,TAP College Name,Scholarship Headcount,Scholarship Dollars
2019,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,6020,2857,SUNY COLLEGE OF TECH AT DELHI,134,557459
2019,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,3025,2858,SUNY COLLEGE OF TECH FARMINGDALE,164,664156
2019,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,6025,2858,SUNY COLLEGE OF TECH FARMINGDALE,578,2563332
2019,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,955,2853,SUNY MARITIME COLLEGE,91,402525
2019,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,940,2849,SUNY PLATTSBURGH,744,3333615
2019,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,4975,11678,SUNY POLYTECHNIC INSTITUTE,223,870795
2019,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,875,2838,SUNY STONY BROOK,1325,5209432
2019,Excelsior Scholarship Program,PUBLIC,3-SUNY SO,890,2840,SUNY UPSTATE MEDICAL UNIV,22,106083
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2000,2860,ADIRONDACK COMMUNITY COLLEGE,186,435928
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2025,2862,BROOME COMMUNITY COLLEGE,204,591595
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2005,2861,CAYUGA COMMUNITY COLLEGE,77,212873
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2036,6787,CLINTON COMMUNITY COLLEGE,56,159736
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2038,6789,COLUMBIA-GREENE COMMUNITY COLLEGE,34,107086
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2042,2863,CORNING COMMUNITY COLLEGE,86,234750
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2053,2864,DUTCHESS COMMUNITY COLLEGE,140,330943
2019,Excelsior Scholarship Program,PUBLIC,4-SUNY CC,2065,10684,ERIE COMMUNITY COLL - ALL CAMPUS,304,1147367
